,Location,CompIndex,CompBenchmark,CompYoYChange,Date,District
4163,Toronto W02,275.6,980800,9.54,2018-09-01,Old Toronto
4164,Toronto W02,280.6,998600,11.08,2018-10-01,Old Toronto
4165,Toronto W02,281.1,1000400,9.68,2018-11-01,Old Toronto
4166,Toronto W02,281.9,1003200,9.6,2018-12-01,Old Toronto
4167,Toronto W02,280.3,997500,7.39,2019-01-01,Old Toronto
4168,Toronto W02,278.1,989700,5.5,2019-02-01,Old Toronto
4169,Toronto W02,282.1,1003900,7.47,2019-03-01,Old Toronto
4170,Toronto W02,288.5,1026700,8.62,2019-04-01,Old Toronto
4171,Toronto W02,288.7,1027400,6.65,2019-05-01,Old Toronto
4172,Toronto W02,287.9,1024600,5.5,2019-06-01,Old Toronto
4173,Toronto W02,291.3,1036700,6.39,2019-07-01,Old Toronto
4174,Toronto W02,291.5,1037400,5.96,2019-08-01,Old Toronto
4175,Toronto W02,295,1049900,7.04,2019-09-01,Old Toronto
4176,Toronto W02,295.5,1051600,5.31,2019-10-01,Old Toronto
4177,Toronto W02,294.5,1048100,4.77,2019-11-01,Old Toronto
4178,Toronto W02,295.9,1053100,4.97,2019-12-01,Old Toronto
4179,Toronto W02,296,1053400,5.6,2020-01-01,Old Toronto
4180,Toronto W02,301.6,1073300,8.45,2020-02-01,Old Toronto
4181,Toronto W02,306.6,1091100,8.68,2020-03-01,Old Toronto
4182,Toronto W02,311.8,1109600,8.08,2020-04-01,Old Toronto
4183,Toronto W02,327.3,1163400,10.8,2020-05-01,Old Toronto
4184,Toronto W02,327.4,1163800,11.06,2020-06-01,Old Toronto
4185,Toronto W02,334.6,1189300,12.36,2020-07-01,Old Toronto
4186,Toronto W02,332.2,1180800,11.07,2020-08-01,Old Toronto
4187,Toronto W02,333.9,1186900,10.97,2020-09-01,Old Toronto
4188,Toronto W02,331.5,1178300,9.84,2020-10-01,Old Toronto
4189,Toronto W02,331.5,1178300,10.13,2020-11-01,Old Toronto
4190,Toronto W02,327,1162300,8.17,2020-12-01,Old Toronto
4191,Toronto W02,331.7,1179000,9.29,2021-01-01,Old Toronto
4192,Toronto W02,343.7,1221700,11.48,2021-02-01,Old Toronto
4193,Toronto W02,357.2,1269700,13.5,2021-03-01,Old Toronto
4194,Toronto W03,202,523600,10.75,2015-07-01,York
4195,Toronto W03,200,518600,10.25,2015-08-01,York
4196,Toronto W03,202,523100,12.24,2015-09-01,York
4197,Toronto W03,205,532400,14.5,2015-10-01,York
4198,Toronto W03,206,533400,13.15,2015-11-01,York
4199,Toronto W03,207,536500,12.57,2015-12-01,York
4200,Toronto W03,203,526900,9.96,2016-01-01,York
4201,Toronto W03,206.7,536000,11.37,2016-02-01,York
4202,Toronto W03,209.5,543200,9.69,2016-03-01,York
4203,Toronto W03,215,557500,11.86,2016-04-01,York
4204,Toronto W03,224.5,582100,14.6,2016-05-01,York
4205,Toronto W03,228,591200,14.92,2016-06-01,York
4206,Toronto W03,232.9,603900,15.7,2016-07-01,York
4207,Toronto W03,234.4,607800,17.49,2016-08-01,York
4208,Toronto W03,234.1,607000,16.47,2016-09-01,York
4209,Toronto W03,237.5,615800,16.08,2016-10-01,York
4210,Toronto W03,239.4,620800,16.78,2016-11-01,York
4211,Toronto W03,239.2,620200,16,2016-12-01,York
4212,Toronto W03,241.4,626700,17.93,2017-01-01,York
4213,Toronto W03,245.6,637600,18.53,2017-02-01,York
4214,Toronto W03,260.4,676100,24,2017-03-01,York
4215,Toronto W03,277,719200,28.54,2017-04-01,York
4216,Toronto W03,281.4,730600,24.9,2017-05-01,York
4217,Toronto W03,283.1,730700,22.5,2017-06-01,York
4218,Toronto W03,277.9,717300,17.75,2017-07-01,York
4219,Toronto W03,267.1,689400,12.7,2017-08-01,York
4220,Toronto W03,263,678800,10.97,2017-09-01,York
4221,Toronto W03,265.8,686100,10.43,2017-10-01,York
4222,Toronto W03,267.2,689700,10.23,2017-11-01,York
4223,Toronto W03,266.5,687900,9.99,2017-12-01,York
4224,Toronto W03,263.7,680600,8.07,2018-01-01,York
4225,Toronto W03,267.2,689700,7.44,2018-02-01,York
4226,Toronto W03,276.9,714700,4.77,2018-03-01,York
4227,Toronto W03,283.4,731500,1.07,2018-04-01,York
4228,Toronto W03,285.7,737400,0.35,2018-05-01,York
4229,Toronto W03,287.1,741000,1.41,2018-06-01,York
4230,Toronto W03,284.5,734300,2.37,2018-07-01,York
4231,Toronto W03,279.9,720400,4.64,2018-08-01,York
4232,Toronto W03,278.2,716000,5.38,2018-09-01,York
4233,Toronto W03,282.7,727600,6.2,2018-10-01,York
4234,Toronto W03,284.7,732700,6.35,2018-11-01,York
4235,Toronto W03,282.4,726800,5.81,2018-12-01,York
4236,Toronto W03,282.9,728100,7.04,2019-01-01,York
4237,Toronto W03,284.4,732000,6.2,2019-02-01,York
4238,Toronto W03,293,754100,5.59,2019-03-01,York
4239,Toronto W03,297,764400,4.61,2019-04-01,York
4240,Toronto W03,295,759300,3.04,2019-05-01,York
4241,Toronto W03,294.4,757700,2.33,2019-06-01,York
4242,Toronto W03,293.5,755400,2.87,2019-07-01,York
4243,Toronto W03,293.8,756200,4.97,2019-08-01,York
4244,Toronto W03,295.5,760500,6.22,2019-09-01,York
4245,Toronto W03,299.1,769800,5.8,2019-10-01,York
4246,Toronto W03,297.8,766500,4.6,2019-11-01,York
4247,Toronto W03,297.9,766700,5.49,2019-12-01,York
4248,Toronto W03,302.4,778300,6.89,2020-01-01,York
4249,Toronto W03,309.1,795500,8.68,2020-02-01,York
4250,Toronto W03,312.9,805300,6.79,2020-03-01,York
4251,Toronto W03,317.5,817200,6.9,2020-04-01,York
4252,Toronto W03,318.2,820200,8.34,2020-05-01,York
4253,Toronto W03,311.1,801900,6.14,2020-06-01,York
4254,Toronto W03,326.4,841300,11.78,2020-07-01,York
4255,Toronto W03,331.1,853400,13.12,2020-08-01,York
4256,Toronto W03,332.1,856000,12.88,2020-09-01,York
4257,Toronto W03,328.3,846200,10.32,2020-10-01,York
4258,Toronto W03,327.4,843900,10.42,2020-11-01,York
4259,Toronto W03,327.8,844900,10.52,2020-12-01,York
4260,Toronto W03,337.7,870400,12.01,2021-01-01,York
4261,Toronto W03,353.5,911100,14.77,2021-02-01,York
4262,Toronto W03,370.9,956000,18.8,2021-03-01,York
4263,Toronto W04,175,457600,10.5,2015-07-01,North York
4264,Toronto W04,174,456500,9.14,2015-08-01,North York
4265,Toronto W04,176,461800,10.95,2015-09-01,North York
4266,Toronto W04,177,464700,12.71,2015-10-01,North York
4267,Toronto W04,178,466500,11.73,2015-11-01,North York
4268,Toronto W04,179,467800,11.42,2015-12-01,North York
4269,Toronto W04,180,472500,11.29,2016-01-01,North York
4270,Toronto W04,182.7,478500,11.81,2016-02-01,North York
4271,Toronto W04,185.2,485000,10.9,2016-03-01,North York
4272,Toronto W04,188.7,494200,11.26,2016-04-01,North York
4273,Toronto W04,195.7,512500,13.85,2016-05-01,North York
4274,Toronto W04,199.4,522200,15.06,2016-06-01,North York
4275,Toronto W04,204.3,535100,16.41,2016-07-01,North York
4276,Toronto W04,205.6,538500,17.42,2016-08-01,North York
4277,Toronto W04,204.9,536600,15.7,2016-09-01,North York
4278,Toronto W04,210.2,550500,18.09,2016-10-01,North York
4279,Toronto W04,212.3,556000,18.94,2016-11-01,North York
4280,Toronto W04,213.2,558400,18.97,2016-12-01,North York
4281,Toronto W04,215.7,553400,19.7,2017-01-01,North York
4282,Toronto W04,219,561900,19.87,2017-02-01,North York
4283,Toronto W04,229.8,589600,23.88,2017-03-01,North York
4284,Toronto W04,239.6,614700,27.04,2017-04-01,North York
4285,Toronto W04,245.9,630900,25.72,2017-05-01,North York
4286,Toronto W04,249.6,639200,25.49,2017-06-01,North York
4287,Toronto W04,246.6,631500,21.18,2017-07-01,North York
4288,Toronto W04,241.9,619500,18.06,2017-08-01,North York
4289,Toronto W04,236.6,605900,15.41,2017-09-01,North York
4290,Toronto W04,239.1,612300,14.13,2017-10-01,North York
4291,Toronto W04,240.9,617000,13.85,2017-11-01,North York
4292,Toronto W04,238.7,611300,12.07,2017-12-01,North York
4293,Toronto W04,239.1,612300,11.16,2018-01-01,North York
4294,Toronto W04,241.8,619300,10.71,2018-02-01,North York
4295,Toronto W04,248.3,635900,8.29,2018-03-01,North York
4296,Toronto W04,250.4,641300,4.81,2018-04-01,North York
4297,Toronto W04,253.4,649000,3.18,2018-05-01,North York
4298,Toronto W04,258,660700,3.37,2018-06-01,North York
4299,Toronto W04,258.2,661300,4.7,2018-07-01,North York
4300,Toronto W04,255.8,654900,5.75,2018-08-01,North York
4301,Toronto W04,253.7,649500,6.6,2018-09-01,North York
4302,Toronto W04,255,652900,6.61,2018-10-01,North York
4303,Toronto W04,258.3,661300,7.18,2018-11-01,North York
4304,Toronto W04,256.5,656700,7.41,2018-12-01,North York
4305,Toronto W04,255.8,654900,6.94,2019-01-01,North York
4306,Toronto W04,256.6,656900,6.12,2019-02-01,North York
4307,Toronto W04,259.4,664100,4.43,2019-03-01,North York
4308,Toronto W04,265.3,679200,5.91,2019-04-01,North York
4309,Toronto W04,268.1,686400,5.76,2019-05-01,North York
4310,Toronto W04,268.2,686600,3.87,2019-06-01,North York
4311,Toronto W04,264.6,677400,2.4,2019-07-01,North York
4312,Toronto W04,268.2,686600,4.85,2019-08-01,North York
4313,Toronto W04,269.7,690500,6.31,2019-09-01,North York
4314,Toronto W04,273,698900,7.06,2019-10-01,North York
4315,Toronto W04,274.2,702000,6.16,2019-11-01,North York
4316,Toronto W04,273.4,700000,6.59,2019-12-01,North York
4317,Toronto W04,275.4,705100,7.66,2020-01-01,North York
4318,Toronto W04,281.4,720400,9.66,2020-02-01,North York
4319,Toronto W04,286.5,733500,10.45,2020-03-01,North York
4320,Toronto W04,290.6,744000,9.54,2020-04-01,North York
4321,Toronto W04,309.2,792800,14.22,2020-05-01,North York
4322,Toronto W04,310.7,796700,14.14,2020-06-01,North York
4323,Toronto W04,314.1,805400,16.33,2020-07-01,North York
4324,Toronto W04,318.6,816900,17,2020-08-01,North York
4325,Toronto W04,320.8,822600,16.53,2020-09-01,North York
4326,Toronto W04,319.4,819000,14.85,2020-10-01,North York
4327,Toronto W04,315,807700,13.6,2020-11-01,North York
4328,Toronto W04,318.8,817400,13.82,2020-12-01,North York
4329,Toronto W04,316.8,812300,11.67,2021-01-01,North York
4330,Toronto W04,328,841000,12.83,2021-02-01,North York
4331,Toronto W04,334,856400,12.31,2021-03-01,North York
4332,Toronto W05,165,391400,12.21,2015-07-01,North York
4333,Toronto W05,165,393500,11.31,2015-08-01,North York
4334,Toronto W05,168,400600,13.86,2015-09-01,North York
4335,Toronto W05,168,400200,12.73,2015-10-01,North York
4336,Toronto W05,168,398700,13.55,2015-11-01,North York
4337,Toronto W05,168,400600,14.09,2015-12-01,North York
4338,Toronto W05,170,404200,15.5,2016-01-01,North York
4339,Toronto W05,172,409200,14.97,2016-02-01,North York
4340,Toronto W05,174.6,415400,14.27,2016-03-01,North York
4341,Toronto W05,178.7,425100,14.4,2016-04-01,North York
4342,Toronto W05,186.7,444200,16.98,2016-05-01,North York
4343,Toronto W05,191.1,454600,16.6,2016-06-01,North York
4344,Toronto W05,193.6,460600,17.76,2016-07-01,North York
4345,Toronto W05,194.8,463400,17.78,2016-08-01,North York
4346,Toronto W05,195.3,464600,16.04,2016-09-01,North York
4347,Toronto W05,196.5,467500,16.83,2016-10-01,North York
4348,Toronto W05,198.7,472700,18.56,2016-11-01,North York
4349,Toronto W05,200.6,477200,19.19,2016-12-01,North York
4350,Toronto W05,199.3,466800,20.71,2017-01-01,North York
4351,Toronto W05,202.5,474300,19.75,2017-02-01,North York
4352,Toronto W05,209.7,491200,22.35,2017-03-01,North York
4353,Toronto W05,219.1,513200,25.27,2017-04-01,North York
4354,Toronto W05,225.8,528900,23.12,2017-05-01,North York
4355,Toronto W05,228.1,541400,24.17,2017-06-01,North York
4356,Toronto W05,225.7,535700,21.02,2017-07-01,North York
4357,Toronto W05,222.2,527400,18.19,2017-08-01,North York
4358,Toronto W05,220.9,524300,15.9,2017-09-01,North York
4359,Toronto W05,216.1,512900,13.5,2017-10-01,North York
4360,Toronto W05,219.3,520500,13.74,2017-11-01,North York
4361,Toronto W05,224.8,533600,15.52,2017-12-01,North York
4362,Toronto W05,227.4,539700,15.55,2018-01-01,North York
4363,Toronto W05,233.4,554000,17.4,2018-02-01,North York
4364,Toronto W05,233.2,553500,12.88,2018-03-01,North York
4365,Toronto W05,234.7,557100,8.91,2018-04-01,North York
4366,Toronto W05,237.7,564200,6.12,2018-05-01,North York
4367,Toronto W05,239.7,568900,5.09,2018-06-01,North York
4368,Toronto W05,237.4,563500,5.18,2018-07-01,North York
4369,Toronto W05,238.8,566800,7.47,2018-08-01,North York
4370,Toronto W05,239.3,568000,8.33,2018-09-01,North York
4371,Toronto W05,239.9,569400,11.01,2018-10-01,North York
4372,Toronto W05,239.3,568000,9.12,2018-11-01,North York
4373,Toronto W05,242.9,576500,8.05,2018-12-01,North York
4374,Toronto W05,241.8,573900,6.33,2019-01-01,North York
4375,Toronto W05,244.9,581300,4.93,2019-02-01,North York
4376,Toronto W05,249.5,592200,6.99,2019-03-01,North York
4377,Toronto W05,252.6,599600,7.63,2019-04-01,North York
4378,Toronto W05,251.8,597700,5.93,2019-05-01,North York
4379,Toronto W05,251.3,596500,4.84,2019-06-01,North York
4380,Toronto W05,257.2,610500,8.39,2019-07-01,North York
4381,Toronto W05,255.6,606700,7.04,2019-08-01,North York
4382,Toronto W05,260.8,619000,8.98,2019-09-01,North York
4383,Toronto W05,263,624200,9.63,2019-10-01,North York
4384,Toronto W05,265.5,630200,10.95,2019-11-01,North York
4385,Toronto W05,266.9,633500,9.88,2019-12-01,North York
4386,Toronto W05,265.2,629500,9.68,2020-01-01,North York
4387,Toronto W05,267.3,634500,9.15,2020-02-01,North York
4388,Toronto W05,273.2,648500,9.5,2020-03-01,North York
4389,Toronto W05,275.9,654900,9.27,2020-04-01,North York
4390,Toronto W05,277.1,658000,10.05,2020-05-01,North York
4391,Toronto W05,273.1,648500,8.67,2020-06-01,North York
4392,Toronto W05,281,667300,9.25,2020-07-01,North York
4393,Toronto W05,281.2,667700,10.02,2020-08-01,North York
4394,Toronto W05,284.9,676500,9.24,2020-09-01,North York
4395,Toronto W05,284.4,675300,8.14,2020-10-01,North York
4396,Toronto W05,286.2,679600,7.8,2020-11-01,North York
4397,Toronto W05,288.3,684600,8.02,2020-12-01,North York
4398,Toronto W05,289.3,687000,9.09,2021-01-01,North York
4399,Toronto W05,296.4,703800,10.85,2021-02-01,North York
4400,Toronto W05,311.7,740200,14.05,2021-03-01,North York
4401,Toronto W06,159,462800,2.12,2015-07-01,Etobicoke
4402,Toronto W06,161,468700,4.96,2015-08-01,Etobicoke
4403,Toronto W06,161,469800,5.77,2015-09-01,Etobicoke
4404,Toronto W06,161,469000,2.35,2015-10-01,Etobicoke
4405,Toronto W06,161,469500,2.48,2015-11-01,Etobicoke
4406,Toronto W06,160,467500,2.43,2015-12-01,Etobicoke
4407,Toronto W06,168,488600,5.41,2016-01-01,Etobicoke
4408,Toronto W06,160.5,467900,5.11,2016-02-01,Etobicoke
4409,Toronto W06,165.4,482100,7.54,2016-03-01,Etobicoke
4410,Toronto W06,168.6,491500,7.05,2016-04-01,Etobicoke
4411,Toronto W06,174.6,509000,8.51,2016-05-01,Etobicoke
4412,Toronto W06,177.8,518300,11.54,2016-06-01,Etobicoke
4413,Toronto W06,179.4,522900,13.04,2016-07-01,Etobicoke
4414,Toronto W06,182.2,531100,13.38,2016-08-01,Etobicoke
4415,Toronto W06,185.1,539600,14.9,2016-09-01,Etobicoke
4416,Toronto W06,190.1,554100,18.22,2016-10-01,Etobicoke
4417,Toronto W06,191.1,557100,18.62,2016-11-01,Etobicoke
4418,Toronto W06,191.4,557900,19.33,2016-12-01,Etobicoke
4419,Toronto W06,182.4,534200,17.91,2017-01-01,Etobicoke
4420,Toronto W06,188.8,552900,21.41,2017-02-01,Etobicoke
4421,Toronto W06,199.5,584300,24.84,2017-03-01,Etobicoke
4422,Toronto W06,202.4,592800,24.71,2017-04-01,Etobicoke
4423,Toronto W06,204.6,599200,22.37,2017-05-01,Etobicoke
4424,Toronto W06,202.5,593100,18.7,2017-06-01,Etobicoke
4425,Toronto W06,199,582800,16.72,2017-07-01,Etobicoke
4426,Toronto W06,195,571100,11.88,2017-08-01,Etobicoke
4427,Toronto W06,194.2,568800,9.29,2017-09-01,Etobicoke
4428,Toronto W06,194.6,569900,7.75,2017-10-01,Etobicoke
4429,Toronto W06,194.1,568500,7.53,2017-11-01,Etobicoke
4430,Toronto W06,195.4,572300,8.37,2017-12-01,Etobicoke
4431,Toronto W06,196.6,575800,7.79,2018-01-01,Etobicoke
4432,Toronto W06,197.6,578700,5.27,2018-02-01,Etobicoke
4433,Toronto W06,203,594500,1.75,2018-03-01,Etobicoke
4434,Toronto W06,204.5,598900,0.99,2018-04-01,Etobicoke
4435,Toronto W06,208.6,610900,1.96,2018-05-01,Etobicoke
4436,Toronto W06,210.3,615900,3.85,2018-06-01,Etobicoke
4437,Toronto W06,210.2,615600,5.63,2018-07-01,Etobicoke
4438,Toronto W06,209.8,614400,7.59,2018-08-01,Etobicoke
4439,Toronto W06,210.9,617700,8.6,2018-09-01,Etobicoke
4440,Toronto W06,211.4,619100,8.63,2018-10-01,Etobicoke
4441,Toronto W06,212,620900,9.22,2018-11-01,Etobicoke
4442,Toronto W06,210.5,616500,7.73,2018-12-01,Etobicoke
4443,Toronto W06,209.3,613000,6.46,2019-01-01,Etobicoke
4444,Toronto W06,208.1,609500,5.31,2019-02-01,Etobicoke
4445,Toronto W06,214.2,627300,5.52,2019-03-01,Etobicoke
4446,Toronto W06,218.9,641100,7.04,2019-04-01,Etobicoke
4447,Toronto W06,219.8,643700,5.37,2019-05-01,Etobicoke
4448,Toronto W06,221,647200,5.09,2019-06-01,Etobicoke
4449,Toronto W06,222.1,650500,5.71,2019-07-01,Etobicoke
4450,Toronto W06,223.4,654300,6.48,2019-08-01,Etobicoke
4451,Toronto W06,225.9,661600,7.11,2019-09-01,Etobicoke
4452,Toronto W06,226.9,664500,7.33,2019-10-01,Etobicoke
4453,Toronto W06,227.8,667200,7.45,2019-11-01,Etobicoke
4454,Toronto W06,230.5,675100,9.5,2019-12-01,Etobicoke
4455,Toronto W06,234.3,686200,11.94,2020-01-01,Etobicoke
4456,Toronto W06,238.6,698800,14.66,2020-02-01,Etobicoke
4457,Toronto W06,246.3,721300,14.99,2020-03-01,Etobicoke
4458,Toronto W06,252.1,738300,15.22,2020-04-01,Etobicoke
4459,Toronto W06,248,723100,12.57,2020-05-01,Etobicoke
4460,Toronto W06,248,723100,11.96,2020-06-01,Etobicoke
4461,Toronto W06,254,740600,14.11,2020-07-01,Etobicoke
4462,Toronto W06,257.8,751700,15.09,2020-08-01,Etobicoke
4463,Toronto W06,257,749400,13.57,2020-09-01,Etobicoke
4464,Toronto W06,254.2,741200,11.74,2020-10-01,Etobicoke
4465,Toronto W06,253.7,739800,11.17,2020-11-01,Etobicoke
4466,Toronto W06,252,734800,9.14,2020-12-01,Etobicoke
4467,Toronto W06,256.3,747300,9.16,2021-01-01,Etobicoke
4468,Toronto W06,263.1,767200,10.13,2021-02-01,Etobicoke
4469,Toronto W06,272.1,793400,10.34,2021-03-01,Etobicoke
4470,Toronto W07,176,749700,4.39,2015-07-01,Etobicoke
4471,Toronto W07,177,754800,6.37,2015-08-01,Etobicoke
4472,Toronto W07,180,766700,8.77,2015-09-01,Etobicoke
4473,Toronto W07,178,759000,4.7,2015-10-01,Etobicoke
4474,Toronto W07,178,759000,4.15,2015-11-01,Etobicoke
4475,Toronto W07,177,755200,4.11,2015-12-01,Etobicoke
4476,Toronto W07,181,772700,6.65,2016-01-01,Etobicoke
4477,Toronto W07,178.7,761600,7.33,2016-02-01,Etobicoke
4478,Toronto W07,184.9,788000,7.75,2016-03-01,Etobicoke
4479,Toronto W07,188.4,803000,6.5,2016-04-01,Etobicoke
4480,Toronto W07,195.7,834100,8.06,2016-05-01,Etobicoke
4481,Toronto W07,198.4,845600,12.79,2016-06-01,Etobicoke
4482,Toronto W07,199.9,852000,13.71,2016-07-01,Etobicoke
4483,Toronto W07,205.7,876700,16.21,2016-08-01,Etobicoke
4484,Toronto W07,209.6,893300,16.51,2016-09-01,Etobicoke
4485,Toronto W07,215,916300,20.85,2016-10-01,Etobicoke
4486,Toronto W07,214.3,913300,20.39,2016-11-01,Etobicoke
4487,Toronto W07,215.4,918000,21.63,2016-12-01,Etobicoke
4488,Toronto W07,217,928100,23.23,2017-01-01,Etobicoke
4489,Toronto W07,225.6,964900,28.33,2017-02-01,Etobicoke
4490,Toronto W07,245.9,1051700,35.33,2017-03-01,Etobicoke
4491,Toronto W07,248.6,1063300,34.67,2017-04-01,Etobicoke
4492,Toronto W07,247.2,1057300,28.75,2017-05-01,Etobicoke
4493,Toronto W07,237.6,1018500,21.85,2017-06-01,Etobicoke
4494,Toronto W07,227.7,976100,15.58,2017-07-01,Etobicoke
4495,Toronto W07,217.8,933700,7.08,2017-08-01,Etobicoke
4496,Toronto W07,217.1,930700,4.48,2017-09-01,Etobicoke
4497,Toronto W07,220,943100,3.04,2017-10-01,Etobicoke
4498,Toronto W07,221.2,948200,3.66,2017-11-01,Etobicoke
4499,Toronto W07,218.5,936700,1.96,2017-12-01,Etobicoke
4500,Toronto W07,218,934500,0.51,2018-01-01,Etobicoke
4501,Toronto W07,220.5,945200,-2.48,2018-02-01,Etobicoke
4502,Toronto W07,226.4,970500,-8.19,2018-03-01,Etobicoke
4503,Toronto W07,228.2,978200,-8.39,2018-04-01,Etobicoke
4504,Toronto W07,230.9,989800,-6.78,2018-05-01,Etobicoke
4505,Toronto W07,233.9,1002700,-1.56,2018-06-01,Etobicoke
4506,Toronto W07,234.4,1004800,2.94,2018-07-01,Etobicoke
4507,Toronto W07,229.7,984700,5.46,2018-08-01,Etobicoke
4508,Toronto W07,233.1,999300,7.37,2018-09-01,Etobicoke
4509,Toronto W07,235.2,1008300,6.91,2018-10-01,Etobicoke
4510,Toronto W07,234.8,1006500,6.15,2018-11-01,Etobicoke
4511,Toronto W07,227.4,974800,4.07,2018-12-01,Etobicoke
4512,Toronto W07,225.7,967500,3.53,2019-01-01,Etobicoke
4513,Toronto W07,225.5,966700,2.27,2019-02-01,Etobicoke
4514,Toronto W07,229.9,985500,1.55,2019-03-01,Etobicoke
4515,Toronto W07,238.6,1022800,4.56,2019-04-01,Etobicoke
4516,Toronto W07,240.2,1029700,4.03,2019-05-01,Etobicoke
4517,Toronto W07,243.6,1044300,4.15,2019-06-01,Etobicoke
4518,Toronto W07,243.7,1044700,3.97,2019-07-01,Etobicoke
4519,Toronto W07,245.2,1051100,6.75,2019-08-01,Etobicoke
4520,Toronto W07,246.8,1058000,5.88,2019-09-01,Etobicoke
4521,Toronto W07,246,1054600,4.59,2019-10-01,Etobicoke
4522,Toronto W07,244.5,1048100,4.13,2019-11-01,Etobicoke
4523,Toronto W07,245.9,1054100,8.14,2019-12-01,Etobicoke
4524,Toronto W07,243.7,1044700,7.98,2020-01-01,Etobicoke
4525,Toronto W07,251.1,1076400,11.35,2020-02-01,Etobicoke
4526,Toronto W07,256.2,1098300,11.44,2020-03-01,Etobicoke
4527,Toronto W07,261.1,1119300,9.38,2020-04-01,Etobicoke
4528,Toronto W07,258.9,1108100,8.19,2020-05-01,Etobicoke
4529,Toronto W07,252.7,1081600,4.12,2020-06-01,Etobicoke
4530,Toronto W07,263.7,1128600,8.7,2020-07-01,Etobicoke
4531,Toronto W07,270,1155600,10.57,2020-08-01,Etobicoke
4532,Toronto W07,270,1155600,9.85,2020-09-01,Etobicoke
4533,Toronto W07,270.2,1156500,10.29,2020-10-01,Etobicoke
4534,Toronto W07,269.3,1152600,10.6,2020-11-01,Etobicoke
4535,Toronto W07,269.1,1151700,10.11,2020-12-01,Etobicoke
4536,Toronto W07,275.3,1178300,13.57,2021-01-01,Etobicoke
4537,Toronto W07,286.3,1225400,14.38,2021-02-01,Etobicoke
4538,Toronto W07,299.4,1281400,17.14,2021-03-01,Etobicoke
4539,Toronto W08,155,631000,3.75,2015-07-01,Etobicoke
4540,Toronto W08,155,631000,4.59,2015-08-01,Etobicoke
4541,Toronto W08,158,644000,7.32,2015-09-01,Etobicoke
4542,Toronto W08,158,640800,5,2015-10-01,Etobicoke
4543,Toronto W08,160,648900,6.19,2015-11-01,Etobicoke
4544,Toronto W08,158,643200,5.19,2015-12-01,Etobicoke
4545,Toronto W08,159,646800,5.37,2016-01-01,Etobicoke
4546,Toronto W08,158.1,643200,5.68,2016-02-01,Etobicoke
4547,Toronto W08,162.6,661500,7.47,2016-03-01,Etobicoke
4548,Toronto W08,166.6,677700,7.21,2016-04-01,Etobicoke
4549,Toronto W08,170.3,692800,8.96,2016-05-01,Etobicoke
4550,Toronto W08,173.2,704600,11.31,2016-06-01,Etobicoke
4551,Toronto W08,173.3,705100,11.73,2016-07-01,Etobicoke
4552,Toronto W08,174.8,711100,12.77,2016-08-01,Etobicoke
4553,Toronto W08,176,716000,11.18,2016-09-01,Etobicoke
4554,Toronto W08,180.9,735900,14.86,2016-10-01,Etobicoke
4555,Toronto W08,180.6,734700,13.3,2016-11-01,Etobicoke
4556,Toronto W08,180.6,734700,14.3,2016-12-01,Etobicoke
4557,Toronto W08,182.3,725600,15.6,2017-01-01,Etobicoke
4558,Toronto W08,188,748300,18.99,2017-02-01,Etobicoke
4559,Toronto W08,200.5,798000,23.46,2017-03-01,Etobicoke
4560,Toronto W08,208.2,828700,25.12,2017-04-01,Etobicoke
4561,Toronto W08,214.3,852900,26.13,2017-05-01,Etobicoke
4562,Toronto W08,212.2,846000,21.81,2017-06-01,Etobicoke
4563,Toronto W08,206,821300,18.32,2017-07-01,Etobicoke
4564,Toronto W08,201,801400,14.53,2017-08-01,Etobicoke
4565,Toronto W08,200.7,800200,13.33,2017-09-01,Etobicoke
4566,Toronto W08,202.5,807300,11.2,2017-10-01,Etobicoke
4567,Toronto W08,200.7,800200,10.4,2017-11-01,Etobicoke
4568,Toronto W08,202.8,808500,11.31,2017-12-01,Etobicoke
4569,Toronto W08,202.2,806100,10.13,2018-01-01,Etobicoke
4570,Toronto W08,205.2,818100,8.11,2018-02-01,Etobicoke
4571,Toronto W08,210.5,839200,3.8,2018-03-01,Etobicoke
4572,Toronto W08,214.2,854000,1.81,2018-04-01,Etobicoke
4573,Toronto W08,217.4,866700,0.37,2018-05-01,Etobicoke
4574,Toronto W08,221.8,884300,4.52,2018-06-01,Etobicoke
4575,Toronto W08,222.4,886700,7.96,2018-07-01,Etobicoke
4576,Toronto W08,218.8,872300,8.86,2018-08-01,Etobicoke
4577,Toronto W08,218.4,870700,8.82,2018-09-01,Etobicoke
4578,Toronto W08,219.1,873500,8.2,2018-10-01,Etobicoke
4579,Toronto W08,219.6,875500,9.42,2018-11-01,Etobicoke
4580,Toronto W08,216,861200,6.51,2018-12-01,Etobicoke
4581,Toronto W08,216.7,864000,7.17,2019-01-01,Etobicoke
4582,Toronto W08,217.9,868700,6.19,2019-02-01,Etobicoke
4583,Toronto W08,223.2,889900,6.03,2019-03-01,Etobicoke
4584,Toronto W08,227.6,907400,6.26,2019-04-01,Etobicoke
4585,Toronto W08,229.9,916600,5.75,2019-05-01,Etobicoke
4586,Toronto W08,232.1,925400,4.64,2019-06-01,Etobicoke
4587,Toronto W08,231.1,921400,3.96,2019-07-01,Etobicoke
4588,Toronto W08,233.2,929700,6.58,2019-08-01,Etobicoke
4589,Toronto W08,236.1,941300,8.1,2019-09-01,Etobicoke
